Name,Tags,Notes,Last edited time,Last edited by,Created time,Created by
Expo Toulon,,,"November 8, 2023 11:14 AM","Ismaël ","November 3, 2023 12:50 AM","Ismaël "
"Éléments de présentation Joshua ","Joshua, recherche","plus ou moins classé, sert à onboarder et rapidement voir ce qu’il y a sur Joshua","December 4, 2023 8:34 PM","Ismaël ","July 5, 2023 10:17 AM","Ismaël "
Joshua’s personas & victimes,"Joshua, recherche","Tous les documents de présentation des différentes personas de Joshua, ainsi que les captures d’écran des messages au nom de ces pseudos","December 12, 2023 12:21 AM","Ismaël ","April 19, 2023 10:45 AM","Ismaël "
Timelines & conversations,"Garland, dialogues, scenario, timeline",toutes les timelines et conversations liées à Joshua et à l’attaque de Garland,"December 4, 2023 8:34 PM","Ismaël ","September 8, 2023 4:17 PM",William Menguy
Recherche Structure & Scénario,"production, recherche, scenario",,"December 4, 2023 8:34 PM","Ismaël ","September 15, 2023 12:37 AM",William Menguy
Joshua CorrLinks Talk,"CorrLinks, Interview, Joshua, scenario",,"December 13, 2023 4:59 PM","Ismaël ","November 6, 2023 9:54 PM","Ismaël "
Documents Connexes & Refs,,,"December 4, 2023 8:39 PM","Ismaël ","December 4, 2023 8:32 PM","Ismaël "
3D & IA,"3D, IA, esthétique, images, recherche",Tous les tests et workflows en 3D/IA,"December 4, 2023 8:34 PM","Ismaël ","September 5, 2023 11:29 PM",Kilian Achalme
Recherche esthétique,"esthétique, images, production, recherche",à classer,"December 4, 2023 8:35 PM","Ismaël ","September 7, 2023 2:39 PM","Ismaël "
Docs production,production,à classer,"December 4, 2023 8:34 PM","Ismaël ","September 7, 2023 2:36 PM","Ismaël "
Rushes animation,"3D, IA, images",,"September 28, 2023 9:07 PM",William Menguy,"September 25, 2023 10:34 AM",William Menguy
Préproduction,production,,"September 13, 2023 3:08 AM",William Menguy,"September 11, 2023 12:19 PM",Mona
Nemo instal & Visuels com,"esthétique, images, nemo",Images com et prévisualisation de l’installation,"September 27, 2023 10:04 AM",William Menguy,"August 28, 2023 8:04 PM",William Menguy
"Montage ",production,,"September 13, 2023 4:57 AM",William Menguy,"September 7, 2023 2:49 PM","Ismaël "
Garland,"Garland, recherche",Tous les documents liés à l’attaque du Curtis Culwell Center,"December 4, 2023 8:34 PM","Ismaël ","September 10, 2023 9:57 PM",William Menguy
Tri à faire,,à classer,"September 15, 2023 2:06 AM",William Menguy,"September 7, 2023 2:33 PM","Ismaël "
Archives,,,"November 8, 2023 10:58 AM","Ismaël ","November 8, 2023 10:57 AM","Ismaël "
Session Expo Nemo,,,"December 4, 2023 8:38 PM","Ismaël ","December 4, 2023 8:37 PM","Ismaël "