Name,person,notes,Date,Created by,Created time,Last edited time,Last edited by
Discussion AustraliWitness / FBI as CHS,Event,,"July 26, 2015 6:57 AM",Quentin Sombsthay,"September 11, 2023 3:00 PM","September 11, 2023 3:21 PM",Quentin Sombsthay
A salaam alaikum brother,CHS,,"July 26, 2015 6:57 AM",Quentin Sombsthay,"September 11, 2023 3:00 PM","September 11, 2023 3:22 PM",Quentin Sombsthay
"Salaam, brother. What's up?",AusWitness,,"July 26, 2015 10:04 PM",Quentin Sombsthay,"September 11, 2023 3:00 PM","September 11, 2023 3:22 PM",Quentin Sombsthay
"Nothing much ahki. It's nice to talk with
you. You've gotten kind of famous lately lol -*SMILE*",CHS,,"July 27, 2015 6:51 AM",Quentin Sombsthay,"September 11, 2023 3:05 PM","September 11, 2023 3:22 PM",Quentin Sombsthay
Really? Where am l famous?,AusWitness,gold,"July 27, 2015 7:41 PM",Quentin Sombsthay,"September 11, 2023 3:05 PM","September 11, 2023 3:22 PM",Quentin Sombsthay
I read a news article after garland and it had your name in it,CHS,gold,"July 28, 2015 3:07 PM",Quentin Sombsthay,"September 11, 2023 3:05 PM","September 11, 2023 3:22 PM",Quentin Sombsthay
So I said Alhamdulillah maybe we can chat Smile,CHS,,"July 28, 2015 3:08 PM",Quentin Sombsthay,"September 11, 2023 3:05 PM","September 11, 2023 3:22 PM",Quentin Sombsthay
"Yes, the kuffer media did cover me after Garland",AusWitness,,"July 28, 2015 10:02 PM",Quentin Sombsthay,"September 11, 2023 3:05 PM","September 11, 2023 3:22 PM",Quentin Sombsthay
"Right now, I'm trying to get a mujahid in Melbourne to carry out jihad, but he keeps delaying it. He has a gun already, but he insists on making a video message to the kuffar with a black shahada flag. He also insists on getting his friend to carry out jihad with him. I am afraid he'll get caught before he can do it.",AusWitness,gold,"July 28, 2015 10:04 PM",Quentin Sombsthay,"September 11, 2023 3:05 PM","September 11, 2023 3:23 PM",Quentin Sombsthay
"Are you in Australia, brother?",AusWitness,,"July 30, 2015 9:54 PM",Quentin Sombsthay,"September 11, 2023 3:05 PM","September 11, 2023 3:23 PM",Quentin Sombsthay
"No, l'm in the states ahki",CHS,,"July 31, 2015 5:29 AM",Quentin Sombsthay,"September 11, 2023 3:05 PM","September 11, 2023 3:22 PM",Quentin Sombsthay
"Did we speak to each other on Twitter, brother?",AusWitness,,"July 31, 2015 10:17 PM",Quentin Sombsthay,"September 11, 2023 3:06 PM","September 11, 2023 3:23 PM",Quentin Sombsthay
No what's your twitter?,CHS,,"August 1, 2015 5:32 AM",Quentin Sombsthay,"September 11, 2023 3:06 PM","September 11, 2023 3:22 PM",Quentin Sombsthay
"Right now, it's @aussecret",AusWitness,,"August 1, 2015 10:27 PM",Quentin Sombsthay,"September 11, 2023 3:06 PM","September 11, 2023 3:23 PM",Quentin Sombsthay