Name,person,Date,Notes,Created by,OBSERVATION CAMILLE,Created time,Last edited by
Aleykum salam,"@LionofTawheed, UCE-1","April 8, 2015 10:36 AM",greetings,William Menguy,,"September 10, 2023 11:10 AM",William Menguy
Salam akhi,"@lovethehaqq, Hendricks","April 8, 2015 10:36 AM",reciprocation of greetings,William Menguy,,"September 10, 2023 11:10 AM",William Menguy
Still using the same account,"@lovethehaqq, Hendricks","April 8, 2015 10:37 AM",reprimanding UCE for lax security,William Menguy,GOLD,"September 10, 2023 11:11 AM",Camille Reysset
"My brother, you need to be more careful","@lovethehaqq, Hendricks","April 8, 2015 10:37 AM",,William Menguy,GOLD,"September 10, 2023 11:39 AM",Camille Reysset
"I never link my Ss with Twitter, stay untraceable","@LionofTawheed, UCE-1","April 8, 2015 10:37 AM",,William Menguy,,"September 10, 2023 11:39 AM",William Menguy
so we’ve talked b4?,"@LionofTawheed, UCE-1","April 8, 2015 10:37 AM",,William Menguy,,"September 10, 2023 11:11 AM",William Menguy
Hey ive been using the same account for too long,"@lovethehaqq, Hendricks","April 8, 2015 10:38 AM",,William Menguy,,"September 10, 2023 11:40 AM",William Menguy
"you need to change accounts too, never keep it more than a week","@lovethehaqq, Hendricks","April 8, 2015 10:38 AM",,William Menguy,GOLD,"September 10, 2023 11:41 AM",Camille Reysset
I choose my contacts carefully,"@LionofTawheed, UCE-1","April 8, 2015 10:37 AM",,William Menguy,,"September 10, 2023 11:45 AM",William Menguy
"Good naseeha ","@LionofTawheed, UCE-1","April 8, 2015 10:38 AM",naseeha - advice,William Menguy,GOLD,"September 10, 2023 11:41 AM",Camille Reysset
ok wait 1 sec,"@LionofTawheed, UCE-1","April 8, 2015 10:38 AM",,William Menguy,,"September 10, 2023 11:41 AM",William Menguy
"UCE-1 creates a new Surespot account, @jundullah",Event,"April 8, 2015 10:39 AM",,William Menguy,,"September 10, 2023 11:43 AM",William Menguy
Aleykum salam,"@lovethehaqq, Hendricks","April 8, 2015 10:42 AM",,William Menguy,,"September 10, 2023 11:44 AM",William Menguy
salam aleykum,"@jundullah, UCE-1","April 8, 2015 10:42 AM",,William Menguy,,"September 10, 2023 11:44 AM",William Menguy
So you mix it up a lot,"@jundullah, UCE-1","April 8, 2015 10:41 AM",,William Menguy,GOLD,"September 10, 2023 11:40 AM",Camille Reysset
"When you do what I do, we have a lot of enemies to watch out for","@lovethehaqq, Hendricks","April 8, 2015 10:42 AM",,William Menguy,GOLD,"September 10, 2023 11:45 AM",Camille Reysset
Get into the habit of doing it,"@lovethehaqq, Hendricks","April 8, 2015 10:43 AM",,William Menguy,,"September 10, 2023 11:45 AM",William Menguy
only 2 years in the deen though?,"@lovethehaqq, Hendricks","April 8, 2015 10:44 AM",UCE-1 has been a muslim for 2 years,William Menguy,,"September 10, 2023 11:47 AM",William Menguy
yeah,"@jundullah, UCE-1","April 8, 2015 10:46 AM",,William Menguy,,"September 10, 2023 11:48 AM",William Menguy
How long for you akhi,"@jundullah, UCE-1","April 8, 2015 10:46 AM",,William Menguy,GOLD,"September 10, 2023 1:25 PM",Camille Reysset
over 20,"@lovethehaqq, Hendricks","April 8, 2015 10:50 AM",,William Menguy,GOLD,"September 10, 2023 1:24 PM",Camille Reysset
wow,"@jundullah, UCE-1","April 8, 2015 10:44 AM",,William Menguy,,"September 10, 2023 1:25 PM",William Menguy
it’s encouraging to hear brothers still striving after 20 years,"@jundullah, UCE-1","April 8, 2015 10:44 AM",,William Menguy,GOLD,"September 10, 2023 11:46 AM",Camille Reysset
do you know a mujahid in Ohio,"@lovethehaqq, Hendricks","April 8, 2015 10:47 AM",,William Menguy,,"September 10, 2023 11:48 AM",William Menguy
I don’t think so,"@jundullah, UCE-1","April 8, 2015 10:47 AM",,William Menguy,,"September 10, 2023 11:48 AM",William Menguy
Im gonna switch accounts,"@lovethehaqq, Hendricks","April 8, 2015 10:50 AM",,William Menguy,GOLD,"September 10, 2023 1:15 PM",Camille Reysset
Okay,"@jundullah, UCE-1","April 8, 2015 10:50 AM",,William Menguy,,"September 10, 2023 1:17 PM",William Menguy
iA,"@jundullah, UCE-1","April 8, 2015 10:50 AM",insh’Allah,William Menguy,,"September 10, 2023 1:17 PM",William Menguy
"Hendricks creates a new Surespot account, @cantdeny",Event,"April 8, 2015 10:55 AM",,William Menguy,,"September 10, 2023 1:20 PM",William Menguy
Bismillah,"@cantdeny, Hendricks","April 8, 2015 10:55 AM",in the name of Allah,William Menguy,,"September 10, 2023 1:17 PM",William Menguy
I see you are true to your word,"@jundullah, UCE-1","April 8, 2015 10:55 AM",,William Menguy,,"September 10, 2023 2:48 PM",William Menguy
just gotta stay off the grid you know,"@cantdeny, Hendricks","April 8, 2015 10:55 AM",,William Menguy,,"September 10, 2023 1:26 PM",William Menguy
can’t stay in one place for too long,"@cantdeny, Hendricks","April 8, 2015 10:55 AM",,William Menguy,GOLD,"September 10, 2023 2:48 PM",Camille Reysset
"In fact, you should use Wickr, akhi","@cantdeny, Hendricks","April 8, 2015 10:57 AM",Wickr is another encrypted app,William Menguy,GOLD,"September 10, 2023 2:57 PM",Camille Reysset
it’s safer even than this,"@cantdeny, Hendricks","April 8, 2015 10:57 AM",,William Menguy,,"September 10, 2023 2:57 PM",William Menguy
I know surespot isnt foolproof either,"@jundullah, UCE-1","April 8, 2015 10:57 AM",,William Menguy,,"September 10, 2023 3:31 PM",William Menguy
Do you have Wickr,"@cantdeny, Hendricks","April 8, 2015 11:00 AM",,William Menguy,,"September 10, 2023 3:32 PM",William Menguy
No but I can get it,"@jundullah, UCE-1","April 8, 2015 11:00 AM",,William Menguy,,"September 10, 2023 3:32 PM",William Menguy
Do it soon,"@cantdeny, Hendricks","April 8, 2015 11:00 AM",,William Menguy,,"September 10, 2023 3:32 PM",William Menguy
"its ok for now akhi, iA","@cantdeny, Hendricks","April 8, 2015 11:03 AM",insh’Allah,William Menguy,,"September 10, 2023 3:35 PM",William Menguy
the encryption isnt perfect i know this,"@cantdeny, Hendricks","April 8, 2015 11:03 AM",,William Menguy,,"September 10, 2023 3:33 PM",William Menguy
other apps are better for encryption,"@cantdeny, Hendricks","April 8, 2015 11:03 AM",,William Menguy,,"September 10, 2023 3:34 PM",William Menguy
Surespot has backdoors,"@cantdeny, Hendricks","April 8, 2015 11:03 AM",,William Menguy,GOLD,"September 10, 2023 3:33 PM",Camille Reysset
they have ways to dig up things even after you delete it,"@cantdeny, Hendricks","April 8, 2015 11:03 AM",,William Menguy,GOLD,"September 10, 2023 3:33 PM",Camille Reysset
thats what i heard,"@jundullah, UCE-1","April 8, 2015 11:03 AM",,William Menguy,,"September 10, 2023 1:17 PM",William Menguy
best leave no traces behind,"@cantdeny, Hendricks","April 8, 2015 11:03 AM",,William Menguy,GOLD,"September 10, 2023 3:34 PM",Camille Reysset
"good practice, tie up your camels","@jundullah, UCE-1","April 8, 2015 11:03 AM","Tie up your camels means something like - take care of loose ends, be reponsible for your actions",William Menguy,GOLD,"September 10, 2023 3:33 PM",Camille Reysset
speaking about camels,"@cantdeny, Hendricks","April 8, 2015 11:05 AM",,William Menguy,,"September 10, 2023 1:17 PM",William Menguy
I like that desert and i was just through that way not long ago,"@cantdeny, Hendricks","April 8, 2015 11:05 AM",,William Menguy,,"September 10, 2023 1:23 PM",William Menguy
really,"@jundullah, UCE-1","April 8, 2015 11:05 AM",,William Menguy,,"September 10, 2023 2:44 PM",William Menguy
For a major project,"@cantdeny, Hendricks","April 8, 2015 11:05 AM",,William Menguy,,"September 10, 2023 3:35 PM",William Menguy
I seen it because I was looking for off-the-grid locations,"@cantdeny, Hendricks","April 8, 2015 11:05 AM",,William Menguy,,"September 10, 2023 2:50 PM",William Menguy
Is that why you went?,"@cantdeny, Hendricks","April 8, 2015 11:05 AM",,William Menguy,,"September 10, 2023 2:51 PM",William Menguy
something like that,"@jundullah, UCE-1","April 8, 2015 11:05 AM",,William Menguy,,"September 10, 2023 2:51 PM",William Menguy
Definitely a candidate then,"@jundullah, UCE-1","April 8, 2015 11:05 AM",,William Menguy,,"September 10, 2023 2:50 PM",William Menguy
Huge wide open area,"@jundullah, UCE-1","April 8, 2015 11:05 AM",,William Menguy,,"September 10, 2023 2:51 PM",William Menguy
no one around to bug you out,"@jundullah, UCE-1","April 8, 2015 11:05 AM",,William Menguy,,"September 10, 2023 2:51 PM",William Menguy
Only pb is the fuckin redneck kufirs,"@cantdeny, Hendricks","April 8, 2015 11:10 AM",,William Menguy,,"September 10, 2023 2:52 PM",William Menguy
"not trying to be racist, but theyre all the same to me, all mushrikeen","@jundullah, UCE-1","April 8, 2015 11:10 AM",Mushrikeen - who worships someone other than Allah,William Menguy,,"September 10, 2023 2:53 PM",William Menguy
Haqq,"@cantdeny, Hendricks","April 8, 2015 11:10 AM",Truth,William Menguy,,"September 10, 2023 2:53 PM",William Menguy
where you located,"@cantdeny, Hendricks","April 8, 2015 11:10 AM",,William Menguy,,"September 10, 2023 2:47 PM",William Menguy
in the SW right,"@cantdeny, Hendricks","April 8, 2015 11:10 AM",in the southwest - Hendricks is trying to learn UCE’s location,William Menguy,,"September 10, 2023 2:46 PM",William Menguy
looks like New Mexico no,"@cantdeny, Hendricks","April 8, 2015 11:10 AM",,William Menguy,,"September 10, 2023 2:49 PM",William Menguy
a little north of that,"@jundullah, UCE-1","April 8, 2015 11:10 AM",UCE doesn’t want to pinpoint a precise location,William Menguy,,"September 10, 2023 2:49 PM",William Menguy
Ok cool,"@cantdeny, Hendricks","April 8, 2015 11:10 AM",,William Menguy,,"September 10, 2023 2:50 PM",William Menguy
"Akhi, what about KIK for communications","@jundullah, UCE-1","April 8, 2015 11:17 AM",KIK is another encrypted app,William Menguy,,"September 10, 2023 3:12 PM",William Menguy
secure communications,"@jundullah, UCE-1","April 8, 2015 11:17 AM",,William Menguy,,"September 10, 2023 3:13 PM",William Menguy
KIK is ok,"@cantdeny, Hendricks","April 8, 2015 11:18 AM",,William Menguy,,"September 10, 2023 3:17 PM",William Menguy
I see youre learning this practice,"@cantdeny, Hendricks","April 8, 2015 11:18 AM",,William Menguy,,"September 10, 2023 3:13 PM",William Menguy
when I ask brothers to go to another app they think i’m them boys or something,"@cantdeny, Hendricks","April 8, 2015 11:18 AM",them boys - the government (FBI),William Menguy,,"September 10, 2023 3:14 PM",William Menguy
Few brothers are so secure as you,"@jundullah, UCE-1","April 8, 2015 11:19 AM",,William Menguy,,"September 10, 2023 3:15 PM",William Menguy
I told you about staying off the grid akhi,"@cantdeny, Hendricks","April 8, 2015 11:20 AM",,William Menguy,,"September 10, 2023 3:13 PM",William Menguy
what about ChatSecure,"@jundullah, UCE-1","April 8, 2015 11:20 AM",Chatsecure - another encrypted app,William Menguy,,"September 10, 2023 3:17 PM",William Menguy
I have it,"@cantdeny, Hendricks","April 8, 2015 11:20 AM",,William Menguy,,"September 10, 2023 3:16 PM",William Menguy
I taught your friend about it and he taught you about it,"@cantdeny, Hendricks","April 8, 2015 11:20 AM",,William Menguy,,"September 10, 2023 3:16 PM",William Menguy
Over or under the age of 30,"@cantdeny, Hendricks","April 8, 2015 11:22 AM",Gathering info about a potential recruit,William Menguy,,"September 10, 2023 3:18 PM",William Menguy
Over,"@jundullah, UCE-1","April 8, 2015 11:22 AM",,William Menguy,,"September 10, 2023 3:19 PM",William Menguy
Any specific skills I should know about,"@cantdeny, Hendricks","April 8, 2015 11:23 AM",Gathering info about a potential recruit,William Menguy,,"September 10, 2023 3:19 PM",William Menguy
Yes,"@jundullah, UCE-1","April 8, 2015 11:23 AM",,William Menguy,,"September 10, 2023 3:20 PM",William Menguy
"But I shouldn’t say, not here","@jundullah, UCE-1","April 8, 2015 11:23 AM","evasive, UCE is trying to convince Hendricks that he is also concerned with security and privacy",William Menguy,,"September 10, 2023 3:20 PM",William Menguy
as you know,"@jundullah, UCE-1","April 8, 2015 11:24 AM",referring to the previous interaction about surespot’s flawed security,William Menguy,,"September 10, 2023 3:34 PM",William Menguy
haqq,"@cantdeny, Hendricks","April 8, 2015 11:24 AM",haqq -truth,William Menguy,,"September 10, 2023 3:40 PM",William Menguy
Do you work akhi,"@cantdeny, Hendricks","April 8, 2015 11:25 AM",,William Menguy,,"September 10, 2023 2:54 PM",William Menguy
Don’t tell job,"@cantdeny, Hendricks","April 8, 2015 11:25 AM","He wants to know if UCE works, but no specific biographical information",William Menguy,,"September 10, 2023 2:54 PM",William Menguy
yeah i work,"@jundullah, UCE-1","April 8, 2015 11:25 AM",,William Menguy,,"September 10, 2023 2:58 PM",William Menguy
always remember al-wala’ wal-bara,"@jundullah, UCE-1","April 8, 2015 11:25 AM","Love and hate, love your correligionaries and hate the kuffar",William Menguy,,"September 10, 2023 3:04 PM",William Menguy
Yes,"@cantdeny, Hendricks","April 8, 2015 11:25 AM",,William Menguy,,"September 10, 2023 3:00 PM",William Menguy
"Yes, we must tie up our camels","@cantdeny, Hendricks","April 8, 2015 11:25 AM",He reuses the camel image to talk about his own projects,William Menguy,GOLD,"September 10, 2023 3:06 PM",Camille Reysset
Or they might end up putting the camels in safes and handcuffs,"@cantdeny, Hendricks","April 8, 2015 11:25 AM",,William Menguy,GOLD,"September 10, 2023 3:01 PM",Camille Reysset
If we were going to travel this path,"@cantdeny, Hendricks","April 8, 2015 11:25 AM","He starts revealing his ideas, his plan",William Menguy,,"September 10, 2023 3:06 PM",William Menguy
yeah,"@jundullah, UCE-1","April 8, 2015 11:25 AM",,William Menguy,,"September 10, 2023 2:52 PM",William Menguy
Too much blaming without daleel hurts the ummah,"@jundullah, UCE-1","April 8, 2015 11:25 AM",Too much blaming without proof (daleel) hurts the Islamic commuity (Ummah),William Menguy,,"September 10, 2023 3:07 PM",William Menguy
"I know, brother. Wallahi it hurts","@cantdeny, Hendricks","April 8, 2015 11:25 AM",Wallahi - au nom d’Allah,William Menguy,,"September 10, 2023 3:09 PM",William Menguy
We need to believe that Allah is with us or not,"@cantdeny, Hendricks","April 8, 2015 11:25 AM",,William Menguy,,"September 10, 2023 3:08 PM",William Menguy
I keep my chopper ready by my door,"@cantdeny, Hendricks","April 8, 2015 11:25 AM",chopper - assault rifle,William Menguy,,"September 10, 2023 3:10 PM",William Menguy
it’s a war akhi,"@jundullah, UCE-1","April 8, 2015 11:25 AM",,William Menguy,,"September 10, 2023 3:11 PM",William Menguy
A war of religion,"@jundullah, UCE-1","April 8, 2015 11:25 AM",,William Menguy,,"September 10, 2023 3:11 PM",William Menguy
Well brother here is where most brothers get stuck,"@cantdeny, Hendricks","April 8, 2015 11:29 AM",,William Menguy,,"September 10, 2023 3:41 PM",William Menguy
Soon we have to meet iA,"@cantdeny, Hendricks","April 8, 2015 11:29 AM",insh’Allah,William Menguy,,"September 10, 2023 3:37 PM",William Menguy
I was looking for another brother in Ohio,"@cantdeny, Hendricks","April 8, 2015 11:26 AM",,William Menguy,GOLD,"September 10, 2023 3:40 PM",Camille Reysset
i lost track of him a while back,"@cantdeny, Hendricks","April 8, 2015 11:26 AM",,William Menguy,,"September 10, 2023 3:40 PM",William Menguy
I dont have knowledge of a brother in Ohio,"@jundullah, UCE-1","April 8, 2015 11:26 AM",,William Menguy,,"September 10, 2023 3:41 PM",William Menguy
he took the shahhadah in high school and been keeping his eeman since,"@cantdeny, Hendricks","April 8, 2015 11:28 AM","shahhadah - Islamic statement of fate
eeman - faith",William Menguy,,"September 10, 2023 3:42 PM",William Menguy
he was a good brother im worried about him,"@cantdeny, Hendricks","April 8, 2015 11:27 AM",,William Menguy,,"September 10, 2023 3:42 PM",William Menguy
inshallah he will reappear,"@cantdeny, Hendricks","April 8, 2015 11:27 AM",,William Menguy,,"September 10, 2023 3:37 PM",William Menguy
Inshallah brother,"@jundullah, UCE-1","April 8, 2015 11:28 AM",,William Menguy,,"September 10, 2023 3:43 PM",William Menguy
It’s an honor to live during these golden times,"@cantdeny, Hendricks","April 8, 2015 11:28 AM",Referring to the emergence of the ISIS Caliphate,William Menguy,,"September 10, 2023 3:39 PM",William Menguy
Al-Khillafah finally,"@jundullah, UCE-1","April 8, 2015 11:29 AM",Al-Khillafa - the caliphate,William Menguy,,"September 10, 2023 6:04 PM",William Menguy
"We need to honor them here in this land, build our own hijrah","@cantdeny, Hendricks","April 8, 2015 11:30 AM",Hijrah is the exile of Muslims in a territory hostile to islam - he wants to build a haven for muslims in the US,William Menguy,,"September 10, 2023 6:06 PM",William Menguy
It could be very costly,"@cantdeny, Hendricks","April 8, 2015 11:30 AM",,William Menguy,,"September 10, 2023 6:08 PM",William Menguy
I am willing to help akhi,"@jundullah, UCE-1","April 8, 2015 11:31 AM",UCE gets closer to Hendricks,William Menguy,GOLD,"September 10, 2023 6:09 PM",Camille Reysset
Well brother you are not alone,"@cantdeny, Hendricks","April 8, 2015 11:31 AM",,William Menguy,GOLD,"September 10, 2023 6:09 PM",Camille Reysset
We have land and are building that’s all I can say,"@cantdeny, Hendricks","April 8, 2015 11:32 AM",,William Menguy,,"September 10, 2023 6:09 PM",William Menguy
What can a brother do,"@jundullah, UCE-1","April 8, 2015 11:33 AM",,William Menguy,,"September 10, 2023 6:10 PM",William Menguy
We are in need of money and referrals,"@cantdeny, Hendricks","April 8, 2015 11:35 AM",,William Menguy,,"September 10, 2023 6:11 PM",William Menguy
ALLAHU AKBAR,"@jundullah, UCE-1","April 8, 2015 11:35 AM",,William Menguy,,"September 10, 2023 6:11 PM",William Menguy
We need men and women mahsallah,"@cantdeny, Hendricks","April 8, 2015 11:35 AM",Mashallah - Allah be praised,William Menguy,,"September 10, 2023 6:12 PM",William Menguy
"If you are willing, you are welcome","@cantdeny, Hendricks","April 8, 2015 11:36 AM",,William Menguy,GOLD,"September 10, 2023 6:13 PM",Camille Reysset
But promise brother,"@cantdeny, Hendricks","April 8, 2015 11:36 AM",,William Menguy,,"September 10, 2023 6:13 PM",William Menguy
Learn the proofs of this work,"@cantdeny, Hendricks","April 8, 2015 11:37 AM",,William Menguy,,"September 10, 2023 6:13 PM",William Menguy
"Make fit your body, mind, and never, never allow the element of spies make you a coward","@cantdeny, Hendricks","April 8, 2015 11:37 AM",,William Menguy,GOLD,"September 10, 2023 6:13 PM",Camille Reysset
I ran like a cheetah once but didn’t make it,"@jundullah, UCE-1","April 8, 2015 11:37 AM",metaphorical statement to test the target’s reaction,William Menguy,,"September 10, 2023 6:14 PM",William Menguy
Like a lion akhi I promise,"@jundullah, UCE-1","April 8, 2015 11:37 AM",the lion is a strong image in ISIS iconography,William Menguy,,"September 10, 2023 6:27 PM",William Menguy
"If you are killed, then that is what you sought. Don’t allow yourself to be imprisoned","@cantdeny, Hendricks","April 8, 2015 11:38 AM",,William Menguy,GOLD,"September 10, 2023 6:15 PM",Camille Reysset
That is humiliation and it pleases the kuffs,"@cantdeny, Hendricks","April 8, 2015 11:38 AM",kuffs - kuffar - nonbelievers,William Menguy,GOLD,"September 10, 2023 6:17 PM",Camille Reysset
Shahaddah or nasr,"@jundullah, UCE-1","April 8, 2015 11:40 AM","shahaddah - statement of faith, martyrdom
nasr - victory",William Menguy,,"September 10, 2023 6:18 PM",William Menguy
"But it has to count. Green bird is one thing, the most amazing thing, but I want to please Allah subhanahu wu ta’ala in the highest form of ibadah","@jundullah, UCE-1","April 8, 2015 11:41 AM","Green bird - when a martyr is killed, the angel of death takes his soul in the shape of a green bird - an important image in islam
Allah subhanahu wa ta’ala - Allah the most exhalted and praised
ibadah - Highest form of worship",William Menguy,,"September 10, 2023 6:21 PM",William Menguy
Mashallah,"@cantdeny, Hendricks","April 8, 2015 11:42 AM",Mashallah - Allah be praised,William Menguy,,"September 10, 2023 6:29 PM",William Menguy
"I sleep with my AK, wake with it, and rub it once I return to it","@cantdeny, Hendricks","April 8, 2015 11:42 AM",,William Menguy,GOLD,"September 10, 2023 6:28 PM",Camille Reysset
haha,"@jundullah, UCE-1","April 8, 2015 11:43 AM",,William Menguy,,"September 10, 2023 6:31 PM",William Menguy
Do you have others akhi,"@jundullah, UCE-1","April 8, 2015 11:43 AM",UCE tries to know more about Hendrick’s weapons,William Menguy,,"September 10, 2023 6:31 PM",William Menguy
"Many more, all over","@cantdeny, Hendricks","April 8, 2015 11:42 AM",,William Menguy,,"September 10, 2023 6:32 PM",William Menguy
Hidden strategically in the house,"@cantdeny, Hendricks","April 8, 2015 11:42 AM",,William Menguy,,"September 10, 2023 6:32 PM",William Menguy
I can hold for weeks with the ammo I have,"@cantdeny, Hendricks","April 8, 2015 11:42 AM",,William Menguy,,"September 10, 2023 6:32 PM",William Menguy
Me too my brother,"@jundullah, UCE-1","April 8, 2015 11:43 AM",armor-penetrating bullets,William Menguy,,"September 10, 2023 6:34 PM",William Menguy
Do you have black tip bullets for mushrikeen with vests?,"@jundullah, UCE-1","April 8, 2015 11:43 AM","mushrikeen - similar to kuffar
UCE wants to know more about Hendricks’ military capacity",William Menguy,GOLD,"September 10, 2023 6:33 PM",Camille Reysset
"No, but don’t worry about me akhi","@cantdeny, Hendricks","April 8, 2015 11:44 AM",,William Menguy,,"September 10, 2023 6:35 PM",William Menguy
Do you know how to cover your tracks?,"@cantdeny, Hendricks","April 8, 2015 11:45 AM",,William Menguy,GOLD,"September 10, 2023 6:36 PM",Camille Reysset
What do you mean,"@jundullah, UCE-1","April 8, 2015 11:45 AM",,William Menguy,,"September 10, 2023 6:37 PM",William Menguy
To know if you’re busted,"@cantdeny, Hendricks","April 8, 2015 11:45 AM",,William Menguy,,"September 10, 2023 6:37 PM",William Menguy
"You can rent out a storage unit, plant some cameras, and pretend like there’s something important inside. Then review the security cameras to see if someone opened your box, or followed you","@cantdeny, Hendricks","April 8, 2015 11:47 AM",Countersurveillance technique coaching by Hendricks,William Menguy,GOLD,"September 10, 2023 6:38 PM",Camille Reysset
interesting,"@jundullah, UCE-1","April 8, 2015 11:47 AM",,William Menguy,,"September 10, 2023 6:39 PM",William Menguy
Do this regularly akhi,"@cantdeny, Hendricks","April 8, 2015 11:48 AM",,William Menguy,,"September 10, 2023 6:39 PM",William Menguy
"There are other ways, but this is efficient.","@cantdeny, Hendricks","April 8, 2015 11:48 AM",,William Menguy,,"September 10, 2023 6:40 PM",William Menguy
It can be done for less than 200,"@cantdeny, Hendricks","April 8, 2015 11:48 AM",,William Menguy,,"September 10, 2023 6:41 PM",William Menguy
Thank you brother for this naseeha,"@jundullah, UCE-1","April 8, 2015 11:49 AM",naseeha - advice,William Menguy,,"September 10, 2023 6:41 PM",William Menguy
Mashallah for this meeting with you akhi,"@jundullah, UCE-1","April 8, 2015 11:50 AM",Mashallah - Allah be praised,William Menguy,,"September 10, 2023 6:42 PM",William Menguy
Do you have other military capacity?,"@cantdeny, Hendricks","April 8, 2015 11:51 AM",,William Menguy,,"September 10, 2023 6:43 PM",William Menguy
I can’t say,"@jundullah, UCE-1","April 8, 2015 11:53 AM","evasive, allusive",William Menguy,,"September 10, 2023 6:43 PM",William Menguy
Good.,"@cantdeny, Hendricks","April 8, 2015 11:54 AM",,William Menguy,,"September 10, 2023 6:43 PM",William Menguy
"I will refer someone to you, brother.","@cantdeny, Hendricks","April 8, 2015 11:57 AM","UCE is in, he has passed the test and is now in the circle",William Menguy,,"September 10, 2023 6:44 PM",William Menguy
And you must get Wickr.,"@cantdeny, Hendricks","April 8, 2015 11:57 AM",,William Menguy,,"September 10, 2023 6:44 PM",William Menguy
Okay,"@jundullah, UCE-1","April 8, 2015 11:57 AM",,William Menguy,,"September 10, 2023 6:45 PM",William Menguy
Can you travel,"@cantdeny, Hendricks","April 8, 2015 12:00 PM",,William Menguy,,"September 10, 2023 6:45 PM",William Menguy
Yes akhi,"@jundullah, UCE-1","April 8, 2015 12:01 PM",,William Menguy,,"September 10, 2023 6:45 PM",William Menguy
ive seen other parts of the world,"@jundullah, UCE-1","April 8, 2015 12:01 PM",,William Menguy,,"September 10, 2023 6:45 PM",William Menguy
I mean in the US,"@cantdeny, Hendricks","April 8, 2015 12:02 PM",,William Menguy,,"September 10, 2023 6:46 PM",William Menguy
Yes,"@jundullah, UCE-1","April 8, 2015 12:02 PM",,William Menguy,,"September 10, 2023 6:46 PM",William Menguy
We need to establish ourselves here,"@cantdeny, Hendricks","April 8, 2015 12:03 PM",We need to build a base on US territory,William Menguy,,"September 10, 2023 6:47 PM",William Menguy
I never fly myself,"@cantdeny, Hendricks","April 8, 2015 12:03 PM",,William Menguy,,"September 10, 2023 6:48 PM",William Menguy
Can’t bring my babies and I’m never without them,"@cantdeny, Hendricks","April 8, 2015 12:03 PM",Referring to his weapons,William Menguy,,"September 10, 2023 6:48 PM",William Menguy
If you know what I mean,"@cantdeny, Hendricks","April 8, 2015 12:03 PM",,William Menguy,,"September 10, 2023 6:48 PM",William Menguy